param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,3,3,18,18,1
0.9,2,7,7,11,11,1
1,2,7,7,11,11,1
0.8,3,3,3,18,18,1
0.9,3,7,7,11,11,1
1,3,7,7,11,11,1
