param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,5,2,30,13,0.43333333333333335
0.9,2,16,14,25,22,0.88
1,2,17,17,33,33,1
0.8,3,2,1,26,10,0.38461538461538464
0.9,3,16,14,25,22,0.88
1,3,17,17,33,33,1
