param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,23,23,298,290,0.9731543624161074
1,2,30,28,417,392,0.9400479616306955
0.9,3,34,23,316,290,0.9177215189873418
1,3,30,28,417,392,0.9400479616306955
