param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,259,172,6959,3416,0.49087512573645636
0.9,2,2932,3075,300017.3333333333,270587.3333333333,0.9019056676725344
1,2,5352,5212,437813,371826,0.849280400536302
0.8,3,6,1,2190,300,0.136986301369863
0.9,3,2520,2743,346165.5833333334,297569.4166666666,0.8596158341371793
1,3,3983,4110,439669,436887.5,0.9936736499503035
