param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,439,381,59691,42557,0.7129550518503627
1,2,1201,1119,130672.5,108869.5,0.8331477548833917
0.9,3,339,295,56469,39319,0.6962935415891905
1,3,1244,1120,171559,129345.5,0.7539417926194487
