param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,221,217,46394,41150,0.8869681424322111
1,2,1394,1387,84140,82088,0.975612075112907
0.9,3,218,168,53719,27375,0.5095962322455742
1,3,1394,1387,84140,82088,0.975612075112907
