param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,3668,3584,285664.5,254030,0.8892599535469056
1,2,4903,5031,399391.6666666667,383858.0833333334,0.9611068917311746
0.9,3,3561,3605,307710,295441.5,0.9601296675441162
1,3,3718,3617,530622.875,493425.7916666667,0.9298992088621635
