param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,1027,972,140024,98032,0.7001085528195167
0.9,2,3734,3765,339171.75,306323,0.9031501002073433
1,2,4123,4470,442378.83333333326,424494.3333333333,0.9595719807269261
0.8,3,1250,1467,185433,129081,0.6961058711232628
0.9,3,3274,3266,421470.5625,363555.25,0.8625875265013319
1,3,3226,3627,531479.1666666666,453210.25,0.8527338011054055
