param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,1,1,6,6,1
0.9,2,6,5,24,18,0.75
1,2,6,5,24,18,0.75
0.8,3,1,1,6,6,1
0.9,3,6,5,24,18,0.75
1,3,6,5,24,18,0.75
