param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,266,195,17930,13915,0.7760736196319018
1,2,596,549,20729,18426,0.8888996092430894
0.9,3,266,195,17930,13915,0.7760736196319018
1,3,596,549,20729,18426,0.8888996092430894
