param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.7,2,1,2,4,0,0
0.9,2,14,8,21,11,0.5238095238095238
1,2,14,8,21,11,0.5238095238095238
0.9,3,14,8,21,11,0.5238095238095238
1,3,14,8,21,11,0.5238095238095238
