param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.9,2,4738,4766,364424,361098,0.9908732685004281
1,2,4139,4055,376815.2222222223,339847.74999999977,0.9018949606010837
0.9,3,4310,3989,409668,380018,0.9276243201812199
1,3,2718,2590,560026.527777778,432710.27777777775,0.7726603228864899
