param,depth,cross,cross_bary,weightedCross,weightedCross_bary,percentage
0.8,2,4,6,39.5,47,1.1898734177215189
0.9,2,14,5,75,23,0.30666666666666664
1,2,14,5,75,23,0.30666666666666664
0.8,3,4,6,39.5,47,1.1898734177215189
0.9,3,14,5,75,23,0.30666666666666664
1,3,14,5,75,23,0.30666666666666664
